Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000001, 0.000000, -0.000000, 0.000000, 0.013803, 0.000000
0.255000, 0.000002, 0.000000, -0.000001, 0.000000, 0.016857, 0.000000
0.260000, 0.000003, 0.000000, -0.000002, 0.000000, 0.020329, 0.000000
0.265000, 0.000007, 0.000000, -0.000003, 0.000000, 0.024217, 0.000000
0.270000, 0.000013, 0.000000, -0.000006, 0.000000, 0.028502, 0.000000
0.275000, 0.000025, 0.000000, -0.000012, 0.000000, 0.033151, 0.000000
0.280000, 0.000045, 0.000001, -0.000022, 0.000000, 0.038118, 0.000000
0.285000, 0.000080, 0.000002, -0.000039, 0.000000, 0.043342, 0.000000
0.290000, 0.000140, 0.000003, -0.000068, 0.000000, 0.048752, 0.000000
0.295000, 0.000237, 0.000006, -0.000115, 0.000000, 0.054267, 0.000000
0.300000, 0.000391, 0.000011, -0.000190, 0.000000, 0.059803, 0.111111
0.305000, 0.000631, 0.000020, -0.000306, 0.000000, 0.065274, 0.111111
0.310000, 0.000994, 0.000035, -0.000479, 0.000000, 0.070599, 0.111111
0.315000, 0.001528, 0.000061, -0.000733, 0.000000, 0.075701, 0.111111
0.320000, 0.002293, 0.000104, -0.001094, 0.000000, 0.080517, 0.111111
0.325000, 0.003361, 0.000175, -0.001593, 0.000000, 0.084995, 0.111111
0.330000, 0.004813, 0.000290, -0.002262, 0.000000, 0.089099, 0.111111
0.335000, 0.006736, 0.000469, -0.003133, 0.000000, 0.092810, 0.111111
0.340000, 0.009216, 0.000711, -0.004252, 0.000000, 0.096122, 0.111111
0.345000, 0.012331, 0.001038, -0.005646, 0.000000, 0.099049, 0.111111
0.350000, 0.016144, 0.001496, -0.007324, 0.000000, 0.101617, 0.111111
0.355000, 0.020692, 0.002130, -0.009281, 0.000000, 0.103865, 0.111111
0.360000, 0.025982, 0.002997, -0.011492, 0.000000, 0.105846, 0.111111
0.365000, 0.031982, 0.004166, -0.013908, 0.000000, 0.107620, 0.111111
0.370000, 0.038624, 0.005723, -0.016450, 0.000000, 0.109259, 0.111111
0.375000, 0.045807, 0.007770, -0.019018, 0.000000, 0.110840, 0.111111
0.380000, 0.053406, 0.010426, -0.021490, 0.000000, 0.112448, 0.111111
0.385000, 0.061287, 0.013827, -0.023730, 0.111111, 0.114174, 0.111111
0.390000, 0.069321, 0.018130, -0.025596, 0.111111, 0.116113, 0.111111
0.395000, 0.077400, 0.023502, -0.026949, 0.111111, 0.118369, 0.111111
0.400000, 0.085455, 0.030126, -0.027664, 0.111111, 0.121047, 0.111111
0.405000, 0.093468, 0.038191, -0.027639, 0.111111, 0.124260, 0.111111
0.410000, 0.101479, 0.047887, -0.026796, 0.111111, 0.128120, 0.111111
0.415000, 0.109587, 0.059401, -0.025093, 0.111111, 0.132746, 0.111111
0.420000, 0.117949, 0.072905, -0.022522, 0.111111, 0.138255, 0.111111
0.425000, 0.126770, 0.088552, -0.019109, 0.111111, 0.144766, 0.111111
0.430000, 0.136291, 0.106462, -0.014914, 0.111111, 0.152394, 0.111111
0.435000, 0.146772, 0.126718, -0.010027, 0.111111, 0.161254, 0.111111
0.440000, 0.158482, 0.149356, -0.004563, 0.111111, 0.171453, 0.111111
0.445000, 0.171681, 0.174363, +0.001341, 0.111111, 0.183094, 0.111111
0.450000, 0.186605, 0.201668, +0.007531, 0.111111, 0.196273, 0.111111
0.455000, 0.203459, 0.231144, +0.013842, 0.111111, 0.211077, 0.111111
0.460000, 0.222401, 0.262605, +0.020102, 0.111111, 0.227581, 0.222222
0.465000, 0.243543, 0.295816, +0.026136, 0.111111, 0.245852, 0.222222
0.470000, 0.266939, 0.330491, +0.031776, 0.111111, 0.265940, 0.222222
0.475000, 0.292587, 0.366304, +0.036859, 0.222222, 0.287879, 0.222222
0.480000, 0.320424, 0.402902, +0.041239, 0.222222, 0.311682, 0.222222
0.485000, 0.350331, 0.439907, +0.044788, 0.222222, 0.337337, 0.333333
0.490000, 0.382133, 0.476934, +0.047401, 0.333333, 0.364801, 0.333333
0.495000, 0.415601, 0.513602, +0.049001, 0.333333, 0.393996, 0.333333
0.500000, 0.450461, 0.549539, +0.049539, 0.333333, 0.424805, 0.333333
0.505000, 0.486398, 0.584399, +0.049001, 0.444444, 0.457066, 0.333333
0.510000, 0.523066, 0.617867, +0.047401, 0.444444, 0.490571, 0.444444
0.515000, 0.560093, 0.649669, +0.044788, 0.444444, 0.525069, 0.444444
0.520000, 0.597098, 0.679576, +0.041239, 0.444444, 0.560263, 0.444444
0.525000, 0.633696, 0.707413, +0.036859, 0.666667, 0.595819, 0.444444
0.530000, 0.669509, 0.733061, +0.031776, 0.666667, 0.631376, 0.555556
0.535000, 0.704184, 0.756457, +0.026136, 0.888889, 0.666554, 0.666667
0.540000, 0.737395, 0.777599, +0.020102, 1.000000, 0.700971, 0.666667
0.545000, 0.768856, 0.796541, +0.013842, 1.000000, 0.734254, 0.888889
0.550000, 0.798332, 0.813395, +0.007531, 1.000000, 0.766057, 1.000000
0.555000, 0.825637, 0.828319, +0.001341, 1.000000, 0.796072, 1.000000
0.560000, 0.850644, 0.841518, -0.004563, 1.000000, 0.824042, 1.000000
0.565000, 0.873282, 0.853228, -0.010027, 1.000000, 0.849771, 1.000000
0.570000, 0.893538, 0.863709, -0.014914, 1.000000, 0.873125, 1.000000
0.575000, 0.911448, 0.873230, -0.019109, 1.000000, 0.894041, 1.000000
0.580000, 0.927095, 0.882051, -0.022522, 1.000000, 0.912519, 1.000000
0.585000, 0.940599, 0.890413, -0.025093, 1.000000, 0.928617, 1.000000
0.590000, 0.952113, 0.898521, -0.026796, 1.000000, 0.942447, 1.000000
0.595000, 0.961809, 0.906532, -0.027639, 1.000000, 0.954161, 1.000000
0.600000, 0.969874, 0.914545, -0.027664, 1.000000, 0.963942, 1.000000
0.605000, 0.976498, 0.922600, -0.026949, 1.000000, 0.971992, 1.000000
0.610000, 0.981870, 0.930679, -0.025596, 1.000000, 0.978522, 1.000000
0.615000, 0.986173, 0.938713, -0.023730, 1.000000, 0.983742, 1.000000
0.620000, 0.989574, 0.946594, -0.021490, 1.000000, 0.987854, 1.000000
0.625000, 0.992230, 0.954193, -0.019018, 1.000000, 0.991045, 1.000000
0.630000, 0.994277, 0.961376, -0.016450, 1.000000, 0.993486, 1.000000
0.635000, 0.995834, 0.968018, -0.013908, 1.000000, 0.995326, 1.000000
0.640000, 0.997003, 0.974018, -0.011492, 1.000000, 0.996691, 1.000000
0.645000, 0.997870, 0.979308, -0.009281, 1.000000, 0.997690, 1.000000
0.650000, 0.998504, 0.983856, -0.007324, 1.000000, 0.998409, 1.000000
0.655000, 0.998962, 0.987669, -0.005646, 1.000000, 0.998920, 1.000000
0.660000, 0.999289, 0.990784, -0.004252, 1.000000, 0.999277, 1.000000
0.665000, 0.999531, 0.993264, -0.003133, 1.000000, 0.999522, 1.000000
0.670000, 0.999710, 0.995187, -0.002262, 1.000000, 0.999689, 1.000000
0.675000, 0.999825, 0.996639, -0.001593, 1.000000, 0.999801, 1.000000
0.680000, 0.999896, 0.997707, -0.001094, 1.000000, 0.999874, 1.000000
0.685000, 0.999939, 0.998472, -0.000733, 1.000000, 0.999921, 1.000000
0.690000, 0.999965, 0.999006, -0.000479, 1.000000, 0.999952, 1.000000
0.695000, 0.999980, 0.999369, -0.000306, 1.000000, 0.999971, 1.000000
0.700000, 0.999989, 0.999609, -0.000190, 1.000000, 0.999983, 1.000000
0.705000, 0.999994, 0.999763, -0.000115, 1.000000, 0.999990, 1.000000
0.710000, 0.999997, 0.999860, -0.000068, 1.000000, 0.999994, 1.000000
0.715000, 0.999998, 0.999920, -0.000039, 1.000000, 0.999997, 1.000000
0.720000, 0.999999, 0.999955, -0.000022, 1.000000, 0.999998, 1.000000
0.725000, 1.000000, 0.999975, -0.000012, 1.000000, 0.999999, 1.000000
0.730000, 1.000000, 0.999987, -0.000006, 1.000000, 0.999999, 1.000000
0.735000, 1.000000, 0.999993, -0.000003, 1.000000, 1.000000, 1.000000
0.740000, 1.000000, 0.999997, -0.000002, 1.000000, 1.000000, 1.000000
0.745000, 1.000000, 0.999998, -0.000001, 1.000000, 1.000000, 1.000000
0.750000, 1.000000, 0.999999, -0.000000, 1.000000, 1.000000, 1.000000
